




﻿No. of App.,Application date,Acceptance date,Description of project and contract works,Project postcode,Claimed amount (ex GST),Payment Schedule provided,Payment Schedule provision,Amount of Payment Schedule (ex GST),Section of Act application made under,Section 18(2) notice issued,Business Type/Activity (Claimant),Business Structure (Claimant),Claimant advisers,Business Type/Activity (Respondent),Business Structure (Respondent),Respondent advisers,Determination status,Determination completion date,Reasons if the application is not determined,s21(2B) new reasons provided by Respondent,s21(2B) notice sent to Claimant,s22(4)(b) extension of time sought,Determination released,Determination released date, Adjudicated amount (ex GST) ,Amended determination,Fee type,Total Adjudicator fee (ex GST),Adjudicator's fee payable by Claimant %,Adjudicator's fee payable by Respondent %,Adjudicator's fee payable by Claimant (ex GST),Adjudicator's fee payable by Respondent (ex GST),Other Adjudicator fees,Value of other Adjudicator fees (ex GST),ANA application fee (ex GST),Adjudication Certificate issued,Adjudication Certificate fee (ex GST),Date Adjudication Certificate issued,Other ANA fees,Value of Other ANA fees (ex GST),Adjudicator fee charged,ANA percentage of Adjudicator fee %,ANA fee from Adjudicator fee (ex GST),Adjudicator share of adjudicator fee - amount
284,12-May-2022,13-May-2022,Cabinetry works,3201,"1,153.00",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Sole Trader,None,Determined,20-May-2022,N/A,No,N/A,No,Yes,20-May-2022,"1,153.00",,Capped,200.00,0.0000%,100.0000%,0.00,200.00,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,30.00,170.00
285,12-May-2022,24-May-2022,Concrete structure works,3057,"33,000.00",No,N/A,N/A,s.18(1)(b),Yes,Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Not known,Determined,27-May-2022,N/A,N/A,N/A,No,Yes,30-May-2022,"33,000.00",,Hourly,"1,704.55",0.0000%,100.0000%,0.00,"1,704.55",N/A,N/A,N/A,Yes,300.00,20-Jun-2022,Merchant fees,2.22,Yes,33.3300%,568.18,"1,136.37"
286,12-May-2022,16-May-2022,Plumbing works,3806,"2,610.23",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Trust,None,Major subcontractor,Trust,None,Determined,23-May-2022,N/A,Yes,Yes,No,Yes,24-May-2022,"2,610.23",,Capped,"1,200.00",0.0000%,100.0000%,0.00,"1,200.00",N/A,N/A,0.00,Yes,0.00,01-Jun-2022,N/A,N/A,Yes,15.0000%,180.00,"1,020.00"
287,13-May-2022,13-May-2022,Construction works,3438,"50,204.82",Yes,s15,0.00,s.18(1)(a)(i),N/A,Head contractor,Pty Ltd Company,Solicitors,Developer,Pty Ltd Company,Solicitors,Determined,26-May-2022,N/A,Yes,Yes,Yes,Yes,26-May-2022,"48,077.32",,Hourly,"9,680.00",0.0000%,100.0000%,0.00,"9,680.00",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,"1,452.00","8,228.00"
288,16-May-2022,17-May-2022,Construction works,3931,"109,858.20",Yes,s15,"52,517.58",s.18(1)(a)(i),N/A,Head contractor,Pty Ltd Company,Solicitors,Developer,Other,Solicitors,Determined,01-Jun-2022,N/A,Yes,Yes,Yes,Yes,01-Jun-2022,"95,308.89",,Hourly,"14,080.00",50.0000%,50.0000%,"7,040.00","7,040.00",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,"2,112.00","11,968.00"
289,17-May-2022,18-May-2022,Precast installation works,3012,"292,049.41",Yes,s18,0.00,s.18(1)(b),Yes,Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Not determined,N/A,Settled by parties,N/A,N/A,N/A,N/A,N/A,0.00,,Hourly,"8,800.00",50.0000%,50.0000%,"4,400.00","4,400.00",N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,Yes,15.0000%,"1,320.00","7,480.00"
290,18-May-2022,N/A,Plumbing Works,3023,"73,893.66",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,Solicitors,Other,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,,,,,,,,,N/A,,,,,,,,,,,,,,,,0.00
291,19-May-2022,25-May-2022,"Plumbing and Civil: Civil stormwater, sewer, water and fire service",3059,"656,023.07",Yes,s15,"-7,419.00",s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,15-Jun-2022,,No,No,Yes,Yes,04-Jul-2022,"443,868.67",,Hourly,"32,670.00",0.0000%,100.0000%,0.00,"32,670.00",No,,0.00,No,,,,,,15.0000%,"4,455.00","28,215.00"
292,19-May-2022,25-May-2022,Plumbing and Civil: Design and construction,3978,"779,466.18",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,15-Jun-2022,,No,No,Yes,Yes,04-Jul-2022,"537,106.70",,Hourly,"32,670.00",0.0000%,100.0000%,0.00,"32,670.00",No,,0.00,No,,,,,,15.0000%,"4,455.00","28,215.00"
293,19-May-2022,23-May-2022,Shotcrete works,3204,"19,780.00",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Major subcontractor,Pty Ltd Company,None,Not determined,N/A,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,Capped,0.00,0.0000%,0.0000%,0.00,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,0.0000%,0.00,0.00
294,19-May-2022,23-May-2022,Supply of labour,3000,"181,347.61",Yes,s15,"90,271.99",s.18(1)(a)(i),N/A,Other,Pty Ltd Company,Solicitors,Major subcontractor,Pty Ltd Company,Solicitors,Not determined,N/A,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,Hourly,"1,840.66",50.0000%,50.0000%,920.33,920.33,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,Yes,15.0000%,276.10,"1,564.56"
295,20-May-2022,N/A,Architectural Concept Design Services ,3220,"9,000.00",Yes,s18,0.00,s.18(1)(a)(i),Yes,Consultant,Pty Ltd Company,None,Other,Other,Solicitors,Not determined,,Withdrawn by Claimant,,,,,,,,,N/A,,,,,,,,,,,,,,,,0.00
296,20-May-2022,N/A,Fit out works,3170,"1,018,109.30",Yes,s18,"-422,118.63",s.18(1)(a)(i),Yes,Head contractor,Pty Ltd Company,Solicitors,Developer,Pty Ltd Company,Solicitors,Not determined,N/A,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
297,24-May-2022,27-May-2022,Carpentry for (various locations),3793,"12,480.00",Yes,s15,0.00,s.18(1)(a)(i),No,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Not known,Determined,09-Jun-2022,N/A,No,N/A,No,N/A,10-Jun-2022,"12,480.00",,Hourly,"2,045.45",0.0000%,100.0000%,0.00,"2,045.45",N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,33.3300%,681.82,"1,363.63"
298,24-May-2022,26-May-2022,Cutting and Drilling holes instruct. Steel ,3020,"23,071.00",No,N/A,N/A,s.18(1)(b),Yes,Manufacturer of building materials or components,Trust,None,Other,Pty Ltd Company,Not known,Not determined,N/A,Settled by parties,N/A,N/A,N/A,N/A,N/A,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,N/A,N/A,0.00
299,24-May-2022,25-May-2022,Design and fit out of joinery for mixed development project,3206,"11,863.64",Yes,s15,"6,220.00",s.18(1)(a)(i),No,Trade subcontractor,Pty Ltd Company,Claim preparer,Head contractor,Pty Ltd Company,Not known,Determined,01-Jun-2022,N/A,Yes,Yes,No,Yes,01-Jun-2022,"11,863.64",,Hourly,"1,452.50",0.0000%,100.0000%,0.00,"1,452.50",0,0.00,0.00,No,N/A,N/A,N/A,0.00,Yes,25.0000%,363.12,"1,089.38"
300,26-May-2022,N/A,Hire of machine and operator ,3191,"9,650.00",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Major subcontractor,Pty Ltd Company,Not known,Not determined,N/A,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
301,27-May-2022,30-May-2022,Construction works,3000,"415,707.60",Yes,s15,0.00,s.18(1)(a)(i),N/A,Head contractor,Pty Ltd Company,None,Developer,Trust,None,Determined,20-Jun-2022,N/A,Yes,Yes,Yes,Yes,20-Jun-2022,"415,707.60",,Hourly,"28,160.00",0.0000%,100.0000%,0.00,"28,160.00",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,"4,224.00","23,936.00"
302,27-May-2022,01-Jun-2022,Shop Fit Out ,3013,"33,457.96",Yes,s15,0.00,s.18(1)(a)(i),No,Trade subcontractor,Pty Ltd Company,Claim preparer,Head contractor,Pty Ltd Company,Solicitors,Determined,17-Jun-2022,N/A,Yes,Yes,Yes,Yes,23-Jun-2022,"31,185.24",,Hourly,"4,772.73",0.0000%,100.0000%,0.00,"4,772.73",N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,33.3300%,"1,590.91","3,181.82"
303,06-Jun-2022,09-Jun-2022,Precast supply and installation,3205,"33,589.04",Yes,s15,0.00,s.18(1)(a)(i),N/A,Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Solicitors,Determined,21-Jun-2022,N/A,Yes,Yes,Yes,Yes,21-Jun-2022,0.00,,Capped,0.00,0.0000%,0.0000%,0.00,0.00,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,No,0.0000%,0.00,0.00
304,08-Jun-2022,09-Jun-2022,Landscaping works,3188,"39,691.82",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Sole Trader,None,Head contractor,Pty Ltd Company,None,Determined,20-Jun-2022,N/A,No,N/A,No,Yes,22-Jun-2022,"39,691.82",,Capped,"3,500.00",0.0000%,100.0000%,0.00,"3,500.00",N/A,N/A,0.00,Yes,0.00,30-Jun-2022,N/A,N/A,Yes,15.0000%,525.00,"2,975.00"
305,10-Jun-2022,15-Jun-2022,Concreting works,3142,"10,265.00",Yes,s18,"3,537.35",s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,22-Jun-2022,N/A,No,N/A,No,Yes,22-Jun-2022,"10,265.00",,Capped,"1,200.00",0.0000%,100.0000%,0.00,"1,200.00",N/A,N/A,0.00,Yes,0.00,01-Jul-2022,N/A,N/A,Yes,15.0000%,180.00,"1,020.00"
306,10-Jun-2022,15-Jun-2022,Light gauge steel works,3021,"94,142.10",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Trust,Solicitors,Head contractor,Pty Ltd Company,None,Not determined,N/A,Settled by parties,N/A,N/A,N/A,N/A,N/A,0.00,,Hourly,0.00,0.0000%,0.0000%,0.00,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,0.0000%,0.00,0.00
307,10-Jun-2022,N/A,Site management services,3150,"21,560.00",Yes,s15,"5,775.00",s.18(1)(a)(i),N/A,Project manager,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,N/A,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
308,10-Jun-2022,15-Jun-2022,Supply and delivery of precast panels,3714,"82,815.50",Yes,s15,"29,597.50",s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,29-Jun-2022,N/A,No,N/A,Yes,Yes,29-Jun-2022,"78,835.50",,Capped,"5,000.00",0.0000%,100.0000%,0.00,"5,000.00",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,750.00,"4,250.00"
309,14-Jun-2022,20-Jun-2022,Carpentry ,3163,"24,953.00",Yes,s15,"-15,447.73",s.18(1)(a)(i),N/A,Major subcontractor,Pty Ltd Company,None,Developer,Pty Ltd Company,Not known,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Hourly,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,0.00,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined
310,14-Jun-2022,N/A,"Metal cladding, cement sheets, metal works ",3186,"13,625.82",Yes,s15,"12,748.21",s.18(1)(a)(i),N/A,Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Not known,Not determined,N/A,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
311,14-Jun-2022,20-Jun-2022,Precast Erection ,3040,"106,288.18",Yes,s18,"34,819.91",s.18(1)(a)(i),Yes,Major subcontractor,Trust,None,Major subcontractor,Pty Ltd Company,Not known,Determined,29-Jun-2022,N/A,Yes,Yes,No,Not released,Not released,Withheld,Withheld,Hourly,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld
312,15-Jun-2022,21-Jun-2022,Supply and Install of mechanical services,3004,"114,367.42",Yes,s15,"58,656.73",s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Not known,Not determined,N/A,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
313,20-Jun-2022,22-Jun-2022,Light gauge steel works,3051,"70,582.10",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Trust,Solicitors,Head contractor,Pty Ltd Company,None,Determined,06-Jul-2022,N/A,Yes,Yes,Yes,Yes,07-Jul-2022,"8,450.00",,Capped,"5,000.00",50.0000%,50.0000%,"2,500.00","2,500.00",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,750.00,"4,250.00"
314,21-Jun-2022,N/A,Earthworks,3064,"251,187.00",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,Consultant,Major subcontractor,Pty Ltd Company,Not known,Not determined,N/A,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
315,21-Jun-2022,N/A,Earthworks,3064,"149,510.00",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,Consultant,Major subcontractor,Pty Ltd Company,Not known,Not determined,N/A,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
316,21-Jun-2022,22-Jun-2022,Structural steel works,3031,"84,280.00",Yes,s15,"1,735.55",s.18(1)(a)(i),N/A,Trade subcontractor,Trust,Solicitors,Head contractor,Pty Ltd Company,None,Not determined,N/A,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,Capped,0.00,0.0000%,0.0000%,0.00,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,0.0000%,0.00,0.00
317,21-Jun-2022,22-Jun-2022,Structural steel works,3031,"44,710.00",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Trust,Solicitors,Head contractor,Pty Ltd Company,None,Not determined,N/A,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,Capped,0.00,0.0000%,0.0000%,0.00,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,0.0000%,0.00,0.00
318,22-Jun-2022,23-Jun-2022,Concreting works,3195,"463,390.82",Yes,s15,0.00,s.18(1)(a)(i),N/A,Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Determined,12-Jul-2022,N/A,Yes,Yes,Yes,Yes,13-Jul-2022,"241,178.42",,Hourly,"26,400.00",50.0000%,50.0000%,"13,200.00","13,200.00",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,"3,960.00","22,440.00"
319,23-Jun-2022,28-Jun-2022,Cleaning,3003,"2,700.00",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Sole Trader,Solicitors,Major subcontractor,Pty Ltd Company,Not known,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Hourly,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,0.00,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined
320,29-Jun-2022,N/A,Earthworks,3064,"251,187.00",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,Consultant,Major subcontractor,Pty Ltd Company,Not known,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Hourly,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,0.00,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined
321,29-Jun-2022,N/A,Earthworks,3064,"149,510.00",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,Consultant,Major subcontractor,Pty Ltd Company,Not known,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Hourly,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,0.00,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined
322,29-Jun-2022,N/A,Plumbing Works,3064,"111,433.13",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,Consultant,Major subcontractor,Pty Ltd Company,Not known,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Hourly,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,0.00,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined
323,29-Jun-2022,N/A,Plumbing Works,3062,900.00,No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,Consultant,Major subcontractor,Pty Ltd Company,Not known,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Hourly,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,0.00,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined
324,29-Jun-2022,N/A,Supply and Install Mechanical Services to Multi-Unit Development,3103,"15,438.50",Yes,s15,977.02,s.18(1)(a)(i),N/A,Major subcontractor,Pty Ltd Company,Claim preparer,Head contractor,Pty Ltd Company,Not known,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Hourly,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,0.00,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined,Not yet determined
